iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
## UNITS
NoUnit(),Msol,kpc*a,kpc*a,kpc*a,km s**-1*a,km s**-1*a,km s**-1*a,log(Msol kpc**-3),log(NoUnit()),log(NoUnit())
## MAX
1106504,212084.13,221.84,127.44,1.01,-133.83,-92.54,-5.74,2.19,4.63,-4.58
1106532,212084.13,148.60,121.15,-8.54,-131.25,-120.66,32.06,2.64,5.00,-4.36
1106797,227266.30,28.88,-46.34,91.51,1.71,46.94,-92.34,5.06,4.04,-2.47
1106978,212084.13,198.32,166.31,31.93,-135.71,-93.08,13.33,2.46,4.67,-5.23
1107063,212084.13,197.51,132.57,21.40,-124.94,-119.04,-2.93,2.39,4.93,-4.93
1107108,212084.13,79.82,175.82,-130.19,-90.67,-123.29,58.49,2.51,4.94,-3.72
1107183,212084.13,132.94,121.15,37.07,-144.65,-115.49,-29.88,2.81,4.89,-5.38
1107185,212084.13,228.37,113.63,-13.29,-153.41,-68.49,5.92,2.41,4.69,-4.83
1107186,212084.13,169.63,120.65,34.09,-142.30,-113.80,5.76,2.34,4.76,-5.47
1107232,212084.13,142.84,136.33,21.25,-144.54,-122.68,0.08,2.52,4.92,-5.63
1107293,212084.13,167.68,155.01,-43.85,-119.96,-101.33,15.19,2.51,4.98,-4.88
1107298,212084.13,151.27,144.22,23.68,-135.86,-112.33,-10.85,2.57,4.80,-5.24
1107333,212084.13,135.56,129.92,31.46,-145.87,-125.95,-12.82,2.65,4.81,-5.31
1107368,212084.13,146.46,149.06,11.83,-127.97,-125.76,-5.18,2.54,4.82,-4.47
1107542,212084.13,170.68,178.22,23.75,-138.86,-102.32,-11.27,2.46,4.64,-5.06
1107792,212084.13,193.24,165.84,26.41,-131.05,-94.23,8.11,2.45,4.68,-5.15
1109351,212084.34,-22.18,15.87,63.29,-74.28,-63.19,-141.13,4.54,4.23,-3.19
1109556,213520.81,-80.26,1.70,74.52,-114.82,-21.86,-73.60,3.79,4.79,-2.68
1109752,212087.00,177.32,65.32,102.92,-167.28,-37.93,25.17,2.55,4.95,-5.18
1111565,212102.09,209.96,30.50,88.04,-164.81,-26.54,40.02,2.35,4.98,-3.97
1115626,212084.13,12.52,-38.23,198.22,-66.28,62.21,39.15,4.72,4.11,-3.42
1115845,212084.13,12.40,-38.21,198.19,-65.84,61.39,39.17,4.71,4.11,-3.43
1133854,213715.68,-11.01,3.52,-0.46,-13.09,-156.14,-22.39,6.16,4.06,-1.97
1133995,81237.33,4.39,9.74,-0.82,-178.57,50.20,6.63,7.02,4.02,-1.54
1145272,109048.22,4.93,9.11,-1.25,-134.32,41.56,22.34,6.98,4.04,-1.55
1149179,86554.47,5.34,9.21,-1.18,-184.65,100.06,24.17,6.40,4.73,-1.53
1152302,160441.51,5.62,9.91,0.45,-166.95,76.74,-54.46,6.77,4.07,-1.50
1152678,237210.83,-10.02,-2.76,-2.27,111.36,-143.22,32.24,6.34,4.04,-1.62
1157442,106120.37,3.07,10.68,-0.17,-163.26,20.19,12.93,6.72,4.07,-1.56
1162657,258107.68,4.65,9.61,-0.63,-171.58,42.58,16.30,7.15,4.04,-1.54
1163735,212084.13,193.03,169.16,-33.10,-124.13,-108.23,17.85,2.42,4.94,-4.52
1165463,131258.91,-3.67,-10.67,1.08,174.11,-27.43,13.77,5.97,4.07,-2.13
1167064,214884.18,30.71,-7.21,30.92,-21.13,40.87,-212.43,5.76,4.03,-2.56
1167226,215510.57,33.56,-14.34,27.25,-46.49,75.26,-176.82,5.09,4.08,-2.49
1168102,212084.13,181.62,159.01,-48.75,-128.52,-91.76,19.68,2.50,4.91,-4.33
1168308,212084.13,203.59,170.07,10.43,-116.07,-94.73,16.31,2.42,4.85,-4.17
1169472,136786.42,-6.79,-8.76,0.10,158.45,-119.68,8.05,6.51,4.07,-1.57
1169801,172312.42,2.23,9.87,-1.33,-202.79,30.40,-26.13,6.93,4.05,-1.64
1170595,89862.76,-9.36,-7.28,0.78,124.17,-115.74,20.05,6.43,4.08,-1.58
1172498,214768.62,-2.40,8.00,-5.85,-171.90,-60.00,45.94,5.77,4.09,-2.11
1172585,212084.13,187.26,166.80,4.68,-123.36,-96.43,19.75,2.37,4.85,-3.88
1172813,212084.13,193.23,159.68,12.88,-126.33,-103.37,14.32,2.54,4.81,-4.40
1172818,212084.13,170.56,174.73,14.80,-135.70,-84.11,-1.84,2.40,4.62,-4.56
1173994,82794.55,-9.18,-7.80,0.92,120.12,-132.24,-4.83,6.52,4.04,-1.56
1175393,216934.76,46.06,-77.64,150.26,73.74,-18.78,-42.50,3.33,4.95,-2.50
1176609,214005.92,23.46,-16.37,46.18,13.78,49.08,-124.06,5.01,4.08,-2.80
1176697,119145.65,3.42,9.97,1.12,-166.50,40.77,34.70,6.59,4.07,-1.52
1176816,213518.08,35.08,-26.82,53.57,4.60,59.03,-159.97,4.36,4.77,-2.60
1177113,212700.84,30.02,-45.99,93.08,-4.08,33.17,-96.36,4.95,4.08,-2.60
1177285,212084.13,142.21,119.27,23.26,-146.96,-112.53,5.78,2.49,4.88,-4.28
1177302,212084.13,156.93,144.93,6.14,-142.49,-106.99,8.49,2.39,4.76,-4.41
1181005,212123.41,29.90,-18.95,53.03,15.64,68.21,-126.57,5.01,4.06,-2.78
